method,N,K,J,rep,recovery,time_s
EM-MIP-50,500,3,10,16,0.933333,28.952
EM-MIP-50,500,3,10,17,0.966667,30.448
EM-MIP-50,500,3,10,18,0.966667,25.755
EM-MIP-50,500,3,10,19,0.900000,25.804
EM-MIP-50,500,3,10,20,1.000000,30.107
EM-MIP-50,500,3,10,21,1.000000,30.961
EM-MIP-50,500,3,10,22,0.933333,30.096
EM-MIP-50,500,3,10,23,1.000000,26.457
EM-MIP-50,500,3,10,24,1.000000,28.162
EM-MIP-50,500,3,10,25,0.966667,26.821
EM-MIP-50,500,3,10,26,1.000000,29.879
EM-MIP-50,500,3,10,27,1.000000,28.193
EM-MIP-50,500,3,10,28,1.000000,29.029
EM-MIP-50,500,3,10,29,0.866667,29.235
EM-MIP-50,500,3,10,30,0.966667,30.457
EM-MIP-50,500,3,10,31,1.000000,26.319
EM-MIP-50,500,3,10,32,1.000000,28.087
EM-MIP-50,500,3,10,33,1.000000,28.556
EM-MIP-50,500,3,10,34,0.966667,31.810
EM-MIP-50,500,3,10,35,0.966667,28.973
EM-MIP-50,500,3,10,36,1.000000,30.170
EM-MIP-50,500,3,10,37,0.966667,29.057
EM-MIP-50,500,3,10,38,0.933333,29.783
EM-MIP-50,500,3,10,39,1.000000,33.790
EM-MIP-50,500,3,10,40,0.966667,36.902
EM-MIP-50,500,3,10,41,1.000000,23.052
EM-MIP-50,500,3,10,42,0.900000,30.368
EM-MIP-50,500,3,10,43,0.966667,30.345
EM-MIP-50,500,3,10,44,1.000000,25.208
EM-MIP-50,500,3,10,45,0.966667,30.887
EM-MIP-50,500,3,10,46,0.966667,29.010
EM-MIP-50,500,3,10,47,0.966667,29.005
EM-MIP-50,500,3,10,48,0.966667,28.103
EM-MIP-50,500,3,10,49,0.933333,30.386
EM-MIP-50,500,3,10,50,0.900000,32.980
EM-MIP-50,500,3,10,51,1.000000,27.950
EM-MIP-50,500,3,10,52,1.000000,26.960
EM-MIP-50,500,3,10,53,0.966667,29.710
EM-MIP-50,500,3,10,54,0.966667,36.282
EM-MIP-50,500,3,10,55,1.000000,27.775
EM-MIP-50,500,3,10,56,1.000000,27.979
EM-MIP-50,500,3,10,57,0.966667,28.122
EM-MIP-50,500,3,10,58,0.966667,31.703
EM-MIP-50,500,3,10,59,1.000000,32.014
EM-MIP-50,500,3,10,60,1.000000,22.073
EM-MIP-50,500,3,10,61,0.966667,28.308
EM-MIP-50,500,3,10,62,0.933333,28.134
EM-MIP-50,500,3,10,63,0.933333,27.990
EM-MIP-50,500,3,10,64,1.000000,26.560
EM-MIP-50,500,3,10,65,0.966667,33.127
EM-MIP-50,500,3,10,66,0.900000,35.729
EM-MIP-50,500,3,10,67,0.966667,22.233
EM-MIP-50,500,3,10,68,1.000000,30.041
EM-MIP-50,500,3,10,69,1.000000,27.221
EM-MIP-50,500,3,10,70,1.000000,29.809
EM-MIP-50,500,3,10,71,0.933333,27.136
EM-MIP-50,500,3,10,72,0.900000,26.760
EM-MIP-50,500,3,10,73,1.000000,29.057
EM-MIP-50,500,3,10,74,0.933333,29.222
EM-MIP-50,500,3,10,75,1.000000,27.451
EM-MIP-50,500,3,10,76,0.966667,32.414
EM-MIP-50,500,3,10,77,0.933333,27.273
EM-MIP-50,500,3,10,78,1.000000,26.653
EM-MIP-50,500,3,10,79,0.966667,32.480
EM-MIP-50,500,3,10,80,0.966667,24.895
EM-MIP-50,500,3,10,81,1.000000,27.794
EM-MIP-50,500,3,10,82,1.000000,28.574
EM-MIP-50,500,3,10,83,1.000000,28.337
EM-MIP-50,500,3,10,84,0.966667,27.672
EM-MIP-50,500,3,10,85,0.966667,32.202
EM-MIP-50,500,3,10,86,1.000000,24.730
EM-MIP-50,500,3,10,87,1.000000,29.524
EM-MIP-50,500,3,10,88,1.000000,26.527
EM-MIP-50,500,3,10,89,0.966667,28.948
EM-MIP-50,500,3,10,90,1.000000,30.567
